original,word1,score1,word2,score2,word3,score3,word4,score4,word5,score5,word6,score6,word7,score7,word8,score8,word9,score9,word10,score10
veekogu,küngas,0.8496605157852173,kääbas,0.8346608877182007,elamu,0.8328560590744019,piki,0.8287616968154907,nõlv,0.8244941234588623,mäetipp,0.8226630687713623,ümbritsetud,0.8161369562149048,sau,0.8140504360198975,tara,0.8137141466140747,teeäärne,0.8110395669937134
salajane,päästmine,0.8148124814033508,Aton,0.7455673217773438,meeleavaldus,0.7454483509063721,võidukas,0.7436659336090088,Ipeiros,0.7367923259735107,ilmajäämine,0.7352848649024963,tagasitoomine,0.7308542728424072,alaline,0.7303414344787598,tagasitulek,0.7303249835968018,surematus,0.7281389236450195
tavand,Euraasia,0.8070518970489502,pühapaik,0.78877854347229,asustus,0.7768157124519348,kombestik,0.775490403175354,kammkeraamika,0.7741650938987732,kalendrikombestik,0.7687613368034363,matusekombestik,0.7619141936302185,Lääne-Euroopa,0.7593905329704285,Põhjala,0.7584853172302246,pühakoht,0.7490016222000122
alluv,hingeline,0.8194512128829956,privaatsus,0.8151499032974243,ametialane,0.7966731786727905,sund,0.7956079840660095,pühendumine,0.7937984466552734,kõlbeline,0.7895026206970215,tegutsemine,0.7860223054885864,konkurent,0.7858278751373291,turvatunne,0.7848122119903564,allumine,0.7798038721084595
palee,verine,0.867333173751831,kamber,0.8649119138717651,tiik,0.860519289970398,äärde,0.8587175011634827,oja,0.8584506511688232,värav,0.8583288192749023,põlev,0.8576292991638184,altar,0.8537997007369995,vastas,0.8519763946533203,mäetipp,0.8514648079872131
elusolend,kehaosa,0.828283429145813,elutu,0.8117338418960571,häälitsus,0.8007152080535889,atribuut,0.7811273336410522,entiteet,0.7574396133422852,elus,0.7456294894218445,substants,0.7407902479171753,vastandamine,0.7393448352813721,Looja,0.7388353943824768,liigutamine,0.7349728345870972
kosk,vaikimata,0.7971123456954956,kaldapealne,0.7946003675460815,nõmm,0.7866925001144409,heiskama,0.7814390659332275,tellis,0.7809664607048035,kasarm,0.7749523520469666,telliskivimaja,0.7748423218727112,Risti,0.7740706205368042,manufaktuur,0.765076756477356,Raekoda,0.7613519430160522
painaja,pulmaitk,0.8025685548782349,haldjas,0.7687340974807739,riietus,0.7676547765731812,jõulusokk,0.7599815726280212,soolatüügas,0.7562024593353271,pilge,0.7551336288452148,tootemlik,0.7547113299369812,kratt,0.7531358003616333,tapetu,0.7525368332862854,putukas,0.7518981099128723
hüperajakiri,Pereajalugu,0.9043262004852295,MT1999,0.903035044670105,Huumoripoleemika,0.8956794142723083,Adapteerumisjutt,0.8881593942642212,152000,0.8731385469436646,67123,0.8682993650436401,uurijaeetika,0.8671766519546509,internetiajastu,0.8631211519241333,Loits,0.859586775302887,Sibul,0.8593075275421143
sõnavõtt,A. Laikmaa,0.7672207355499268,reisiraamat,0.7507845163345337,väljapanek,0.7361196279525757,raamatuke,0.7153326272964478,reisikirjeldus,0.71147620677948,tutvus,0.7105277180671692,häälekandja,0.7101552486419678,luulelooming,0.7062399983406067,üleskutse,0.7052021026611328,ülevaateartikkel,0.704913318157196
esitusviis,kogum,0.8173996210098267,karakteristik,0.8166293501853943,kultuurispetsiifiline,0.8149430751800537,deskriptiivne,0.8144311308860779,kombineerimine,0.8106445670127869,arendus,0.8082926273345947,tekstiline,0.802413284778595,osutus,0.7961102724075317,temaatiliselt,0.792328953742981,kanooniline,0.7906734943389893
1951.,1955.,0.950003981590271,1899.,0.9450140595436096,1875.,0.9443289041519165,1885.,0.9435057640075684,1967.,0.9426305294036865,1933.,0.9409494400024414,1928.,0.940691351890564,1861.,0.9400467872619629,1921.,0.9391652345657349,1953.,0.9389141798019409
eit,Veera,0.9010145664215088,õhta,0.8842605948448181,katki,0.876078724861145,maas,0.875912070274353,pää,0.8734374046325684,siss,0.8734315633773804,tall,0.8702490329742432,silk,0.8702025413513184,viil,0.8701428771018982,varss,0.8679128885269165
värvikas,humoorikas,0.8074108362197876,naljand,0.7956637740135193,eepiline,0.7817549109458923,memoraad,0.7574516534805298,õpetlik,0.7488986253738403,fantastiline,0.7471452355384827,kujutus,0.7401852607727051,meelelahutuslik,0.7400736808776855,selgeltnägija,0.73988938331604,folkloorne,0.7361311912536621
johtaa,vaikuttaa,0.9887033700942993,vahvasti,0.9884176254272461,osittain,0.9883125424385071,käyttävät,0.9880769848823547,onkin,0.9877138733863831,vaatii,0.9877030849456787,toisinaan,0.987484335899353,suhteessa,0.9871691465377808,vois,0.9871546030044556,ilmaisevat,0.9871171116828918
kertaa,minuuttia,0.9704872965812683,noin,0.9682836532592773,vuotta,0.959006667137146,neljä,0.9583703279495239,lausetta,0.958203136920929,esimerkeissä,0.9576523900032043,kaikista,0.9567238092422485,yli,0.9554666876792908,sanaa,0.9552589654922485,esiintymää,0.9534777402877808
johon,joihin,0.9904893636703491,etenkin,0.990125834941864,josta,0.9898511171340942,erityisesti,0.9875646829605103,minkä,0.9874722957611084,jotta,0.9871346950531006,puhuja,0.9869941473007202,jonka,0.9868917465209961,tekstin,0.9868079423904419,joita,0.986392617225647
kieliopp,Iso,0.9610529541969299,Karjalan,0.9401823282241821,yliopiston,0.9319956302642822,Viron,0.9303567409515381,yhdistyksen,0.9289929866790771,kirjallisuuden,0.9278345108032227,Karjalassa,0.9276047945022583,kansanomaisesta,0.9275226593017578,Kielen,0.9267099499702454,suvun,0.9261547327041626
hüpe,siire,0.7394780516624451,püüd,0.7383686304092407,toetuspind,0.7297412157058716,vertikaalselt,0.723921537399292,puhang,0.7221846580505371,vastassuund,0.7213646173477173,individualiseeritud,0.7148011922836304,kontuur,0.7144855856895447,arenguperiood,0.7127856016159058,eraldusjoon,0.7126154899597168
sattumine,matmine,0.8280788660049438,rüüstamine,0.8108746409416199,hävitamine,0.7708457708358765,lahkunu,0.757844865322113,viimine,0.7525553703308105,matusetalitus,0.7421658039093018,mälestamine,0.7419145107269287,kandmine,0.7362136840820312,suunduv,0.7354063987731934,tapmine,0.7347042560577393
sotsiaalmeedia,tähtsustama,0.8379354476928711,vahendamine,0.8222342729568481,haridusvaldkond,0.8147829174995422,koolikeskkond,0.8145555257797241,tööalane,0.8037143349647522,tööelu,0.8015777468681335,suunav,0.7998602390289307,professionaal,0.7971717715263367,mitteformaalne,0.7935190200805664,õpetaja-õpilane,0.7932581901550293
